campaign_id,campaign_name,campaign_type,start_date,end_date,budget,target_audience,channel_focus,promotion_type,success_metric,duration_days,log_budget,budget_log,campaign_name_realistic
CAMP-1151,Spring Event,PPC,2023-06-14,2023-07-31,39616.78,Families,Multi-Channel,Free Shipping,Conversions,47,10.587033286375759,10.587008044864982,Surge Spring Fest
CAMP-1152,Mega Promotion,Radio,2023-06-30,2023-07-07,117918.75,Seniors,In-Store,Bundle Deal,Customer Acquisition,7,11.677759587339505,11.677751106959922,Stride Back-to-School Wave
CAMP-1153,New Customer Blast,TV,2022-02-26,2022-03-15,129168.82,Budget Conscious,Email Only,Gift with Purchase,Revenue,17,11.768883251712666,11.768875509936212,Inspire Winter Offer
CAMP-1154,Black Friday Bonanza,TV,2022-04-09,2022-04-22,142153.68,Professionals,Mobile,Gift with Purchase,Customer Acquisition,13,11.864671039505891,11.864664004890377,Surge Holiday Event
CAMP-1155,Loyalty Blast,Social Media,2022-02-26,2022-04-25,36671.72,Students,In-Store,Cashback,Traffic,58,10.50978843338953,10.50976116479221,Boost Winter Bonanza
CAMP-1156,Loyalty Blast,Email,2023-11-01,2023-12-07,10861.53,Families,Email Only,BOGO,Customer Acquisition,36,9.293074531365,9.292982467542611,Inspire Spring Fest
CAMP-1157,Back-to-School Special,Influencer,2024-08-21,2024-09-09,2958.65,Budget Conscious,Online,Bundle Deal,Revenue,19,7.992826297083579,7.992488362200414,Elevate Summer Blast
CAMP-1158,Super Blast,PPC,2023-10-05,2023-12-19,30843.03,Professionals,Email Only,Gift with Purchase,Conversions,75,10.336698493588871,10.336666071878383,Stride Winter Flash
CAMP-1159,Fall Promotion,Print,2022-06-13,2022-08-01,22831.63,High Income,Multi-Channel,Bundle Deal,Customer Acquisition,49,10.03594593218808,10.035902134259452,Inspire Winter Fest
CAMP-1160,Loyalty Promotion,TV,2022-09-01,2022-10-25,61662.43,Professionals,Multi-Channel,Free Shipping,Brand Awareness,54,11.029446327528403,11.02943011032951,Momentum Autumn Event
CAMP-1161,New Customer Sale,Affiliate,2023-07-21,2023-10-06,21445.29,Seniors,In-Store,Cashback,Revenue,77,9.973306949023833,9.973260319825272,Momentum Holiday Blast
CAMP-1162,Holiday Promotion,Radio,2022-04-11,2022-05-20,67229.53,Professionals,Multi-Channel,Free Shipping,Customer Acquisition,39,11.115882738817403,11.115867864511976,Inspire Winter Wave
CAMP-1163,Back-to-School Bonanza,Influencer,2023-09-27,2023-10-06,21296.03,Seniors,Mobile,BOGO,Customer Acquisition,9,9.966322905355609,9.966275949349152,Pulse Autumn Wave
CAMP-1164,Loyalty Deal,Influencer,2023-08-31,2023-09-13,6504.02,Students,Online,Free Shipping,Revenue,13,8.78032946549991,8.780175726253669,Elevate Summer Blast
CAMP-1165,Black Friday Special,Email,2022-08-06,2022-08-25,19768.38,High Income,Email Only,Free Shipping,Traffic,19,9.891889555025461,9.891838970470332,Revive Spring Flash
CAMP-1166,Black Friday Deal,Social Media,2022-08-19,2022-11-06,40267.18,Students,Multi-Channel,Gift with Purchase,Customer Acquisition,79,10.603316857889984,10.603292024077854,Pulse Back-to-School Offer
CAMP-1167,Flash Special,Radio,2023-03-22,2023-05-28,148124.03,Students,Multi-Channel,Gift with Purchase,Conversions,67,11.905811993403157,11.905805242326885,Boost Winter Blast
CAMP-1168,Winter Deal,Affiliate,2024-05-02,2024-05-20,17454.84,Professionals,Mobile,Free Shipping,Brand Awareness,18,9.767429542128003,9.767372253069167,Surge Winter Bonanza
CAMP-1169,Winter Deal,PPC,2022-01-07,2022-02-02,29989.71,Professionals,Online,Free Shipping,Conversions,26,10.308642946021003,10.308609601806337,Ignite Holiday Bonanza
CAMP-1170,Holiday Promotion,Print,2022-01-14,2022-04-14,12283.5,Budget Conscious,Online,Cashback,Revenue,90,9.41609358408631,9.416012177378352,Elevate Holiday Event
CAMP-1171,Loyalty Blast,Social Media,2023-01-11,2023-03-06,18185.28,Families,Online,BOGO,Traffic,54,9.808422742626147,9.808367754608023,Voyage Holiday Blast
CAMP-1172,Super Deal,TV,2022-02-21,2022-03-26,146105.08,Budget Conscious,Mobile,Bundle Deal,Brand Awareness,33,11.892088212204861,11.8920813678393,Ignite Autumn Bonanza
CAMP-1173,Super Sale,Influencer,2024-06-23,2024-08-07,18789.6,Families,Online,Bundle Deal,Revenue,45,9.841112023776358,9.841058804261815,Elevate Holiday Wave
CAMP-1174,Black Friday Promotion,Email,2022-07-19,2022-08-11,22470.06,Seniors,Multi-Channel,Bundle Deal,Brand Awareness,23,10.019983538076508,10.019939035402778,Boost Autumn Sale
CAMP-1175,Back-to-School Bonanza,PPC,2024-07-25,2024-08-15,40194.86,Budget Conscious,In-Store,BOGO,Traffic,21,10.601519284229159,10.60149440573572,Voyage Back-to-School Blast
CAMP-1176,Weekend Blast,Influencer,2024-05-13,2024-06-04,21698.21,Budget Conscious,Email Only,Bundle Deal,Customer Acquisition,22,9.9850311333359,9.984985047646926,Stride Holiday Bonanza
CAMP-1177,Fall Event,Print,2024-05-04,2024-07-15,19294.01,Families,Email Only,Free Shipping,Conversions,72,9.867601792240567,9.867549964026209,Elevate Winter Flash
CAMP-1178,Mega Blast,PPC,2022-10-30,2023-01-12,25110.75,Families,Mobile,Gift with Purchase,Customer Acquisition,74,10.131091143072425,10.131051320283829,Inspire Summer Wave
CAMP-1179,Fall Deal,TV,2022-09-15,2022-12-12,79161.72,Families,Email Only,BOGO,Customer Acquisition,88,11.279260759914461,11.279248127625978,Inspire Autumn Offer
CAMP-1180,Mega Event,Email,2022-02-22,2022-03-01,1692.41,Students,Multi-Channel,Discount,Revenue,7,7.43449952647006,7.433908827597068,Revive Spring Sale
CAMP-1181,Loyalty Sale,Affiliate,2023-10-06,2023-11-21,5380.78,Families,Multi-Channel,BOGO,Conversions,46,8.590774453453966,8.59058862405968,Inspire Holiday Wave
CAMP-1182,Black Friday Deal,Print,2023-10-15,2023-11-19,7740.04,Families,Mobile,Gift with Purchase,Traffic,35,8.95429132448241,8.954162134529076,Pulse Summer Wave
CAMP-1183,Back-to-School Deal,Email,2022-12-24,2023-02-13,23289.63,Professionals,Multi-Channel,Discount,Conversions,51,10.055806412748689,10.055763476105563,Inspire Summer Wave
CAMP-1184,New Customer Promotion,Email,2024-02-11,2024-02-24,21100.96,Families,Multi-Channel,BOGO,Brand Awareness,13,9.957121206145317,9.957073816059504,Stride Back-to-School Event
CAMP-1185,Flash Promotion,Influencer,2022-09-06,2022-11-13,9855.83,Professionals,Multi-Channel,Free Shipping,Conversions,68,9.195919894889952,9.195818437247922,Voyage Autumn Offer
CAMP-1186,Weekend Promotion,TV,2022-06-26,2022-07-04,140143.26,Students,Mobile,Bundle Deal,Conversions,8,11.850427599635765,11.850420464105792,Inspire Winter Event
CAMP-1187,Mega Sale,Email,2024-05-05,2024-07-17,15600.5,Families,In-Store,Gift with Purchase,Revenue,73,9.655122342461297,9.655058244006048,Ignite Back-to-School Sale
CAMP-1188,Flash Promotion,Email,2022-05-14,2022-07-26,6503.42,Young Adults,Online,BOGO,Revenue,73,8.780237224788486,8.78008347135948,Surge Holiday Wave
CAMP-1189,Weekend Special,Influencer,2024-01-13,2024-02-02,13331.01,Families,In-Store,Bundle Deal,Revenue,20,9.497923189502357,9.497848179244668,Surge Spring Blast
CAMP-1190,Winter Special,Social Media,2024-09-10,2024-11-25,47335.29,Professionals,Multi-Channel,Gift with Purchase,Revenue,76,10.765032510753176,10.765011385089064,Revive Back-to-School Event
CAMP-1191,Flash Sale,Email,2024-03-17,2024-04-24,13326.6,Professionals,Online,Cashback,Revenue,38,9.497592351951452,9.497517316872518,Voyage Back-to-School Sale
CAMP-1192,Black Friday Special,Influencer,2023-12-04,2024-02-06,5085.1,Students,Email Only,Gift with Purchase,Revenue,64,8.534266607605526,8.534069973972676,Pulse Winter Sale
CAMP-1193,Super Special,Affiliate,2023-04-20,2023-05-17,22665.19,Young Adults,Mobile,Cashback,Conversions,27,10.028629665857249,10.028585546309149,Revive Winter Sale
CAMP-1194,Mega Event,Radio,2022-12-16,2023-03-05,55442.48,Families,Mobile,Bundle Deal,Brand Awareness,79,10.923119402456566,10.923101365908025,Momentum Winter Wave
CAMP-1195,Summer Bonanza,PPC,2023-08-10,2023-10-04,13468.33,Budget Conscious,Email Only,Free Shipping,Customer Acquisition,55,9.508170528004001,9.508096282505285,Surge Spring Event
CAMP-1196,Flash Deal,Print,2023-09-13,2023-10-08,15062.68,Professionals,In-Store,Free Shipping,Customer Acquisition,25,9.620041827413537,9.619975440369076,Elevate Autumn Event
CAMP-1197,Back-to-School Promotion,PPC,2024-05-02,2024-07-26,37622.85,Seniors,In-Store,Discount,Traffic,85,10.53539343680001,10.53536685756132,Elevate Autumn Blast
CAMP-1198,Weekend Blast,Affiliate,2022-02-01,2022-03-02,24589.57,High Income,Multi-Channel,Cashback,Traffic,29,10.110118315096116,10.110077648274098,Momentum Summer Bonanza
CAMP-1199,Weekend Special,Print,2023-09-12,2023-11-30,7485.07,Families,Email Only,BOGO,Brand Awareness,79,8.920799239208794,8.920665648847407,Pulse Summer Fest
CAMP-1200,Black Friday Deal,Social Media,2023-05-21,2023-07-15,8740.04,Seniors,Email Only,BOGO,Brand Awareness,55,9.075784454705472,9.075670045298148,Boost Autumn Event
CAMP-1201,Mega Event,Email,2022-12-12,2023-01-20,8720.25,Families,Mobile,Gift with Purchase,Conversions,39,9.073517855253446,9.073403186216828,Pulse Back-to-School Wave
CAMP-1202,Summer Sale,PPC,2023-09-24,2023-10-10,39476.22,High Income,Online,Cashback,Conversions,16,10.583479075667935,10.583453744282751,Inspire Autumn Flash
CAMP-1203,Spring Sale,PPC,2022-02-03,2022-02-21,44984.82,Budget Conscious,Online,Discount,Brand Awareness,18,10.714102607983408,10.714080378509436,Revive Back-to-School Wave
CAMP-1204,Weekend Event,PPC,2023-10-10,2023-12-29,42173.93,Professionals,Mobile,BOGO,Revenue,80,10.649581247661754,10.64955753661219,Momentum Winter Fest
CAMP-1205,Mega Deal,Radio,2023-06-24,2023-08-31,91116.45,Students,Email Only,BOGO,Revenue,68,11.419904612654847,11.419893637748421,Voyage Autumn Sale
CAMP-1206,Super Promotion,Email,2023-01-24,2023-03-07,19341.28,Students,Multi-Channel,Bundle Deal,Customer Acquisition,42,9.870048652441387,9.869996950891673,Elevate Summer Fest
CAMP-1207,Flash Special,Radio,2024-06-09,2024-08-26,145790.35,Professionals,Multi-Channel,BOGO,Customer Acquisition,78,11.889931768950364,11.889924909809341,Ignite Summer Flash
CAMP-1208,Weekend Sale,PPC,2022-12-30,2023-03-13,15823.77,Budget Conscious,Online,Gift with Purchase,Traffic,73,9.669331712941514,9.66926851887314,Voyage Autumn Fest
CAMP-1209,Back-to-School Sale,Affiliate,2023-03-24,2023-04-16,20939.87,Families,Multi-Channel,Bundle Deal,Customer Acquisition,23,9.9494580308394,9.949410276191312,Revive Back-to-School Offer
CAMP-1210,New Customer Event,TV,2024-04-07,2024-05-22,79002.37,Professionals,Multi-Channel,Free Shipping,Brand Awareness,45,11.27724578876717,11.277233130999168,Voyage Back-to-School Fest
CAMP-1211,Back-to-School Sale,Social Media,2022-03-30,2022-04-28,10501.52,Professionals,Email Only,Bundle Deal,Brand Awareness,29,9.259370507350223,9.259275287573383,Pulse Back-to-School Wave
CAMP-1212,Mega Blast,Print,2022-07-29,2022-10-25,17511.15,Budget Conscious,Online,Cashback,Conversions,88,9.770650204721063,9.770593099879413,Revive Summer Offer
CAMP-1213,Mega Special,Social Media,2023-09-25,2023-11-13,42625.78,Young Adults,Email Only,Bundle Deal,Customer Acquisition,49,10.660237973244705,10.660214513538625,Elevate Holiday Fest
CAMP-1214,Summer Bonanza,Email,2023-11-13,2024-01-28,4975.69,High Income,Multi-Channel,Free Shipping,Traffic,76,8.512520290400685,8.51231933344298,Surge Autumn Bonanza
CAMP-1215,Flash Blast,PPC,2022-04-25,2022-07-19,39693.37,Budget Conscious,Mobile,BOGO,Brand Awareness,85,10.588964643016768,10.588939450209917,Ignite Summer Fest
CAMP-1216,Weekend Bonanza,Social Media,2022-03-28,2022-06-21,29151.62,Budget Conscious,Email Only,Cashback,Conversions,85,10.28030006767107,10.280265764848492,Elevate Holiday Sale
CAMP-1217,Winter Sale,TV,2024-08-17,2024-10-20,111789.81,High Income,Online,Free Shipping,Revenue,64,11.62438463596672,11.624375690647577,Revive Autumn Blast
CAMP-1218,Fall Promotion,Email,2022-07-06,2022-09-11,17580.94,Young Adults,In-Store,BOGO,Traffic,67,9.774627517824252,9.77457063966181,Pulse Holiday Offer
CAMP-1219,Black Friday Special,Email,2024-02-21,2024-03-13,17195.16,Young Adults,Online,Gift with Purchase,Revenue,21,9.752441382062301,9.752383227853608,Momentum Back-to-School Offer
CAMP-1220,Super Special,TV,2024-06-13,2024-08-05,57293.49,Seniors,Email Only,Gift with Purchase,Brand Awareness,53,10.955959737520644,10.95594228368299,Voyage Holiday Flash
CAMP-1221,Mega Special,Affiliate,2023-11-23,2023-12-15,15464.08,High Income,In-Store,BOGO,Conversions,22,9.646339858077015,9.646275194180527,Stride Autumn Blast
CAMP-1222,Spring Event,TV,2022-05-15,2022-08-13,113039.53,Professionals,Online,Bundle Deal,Brand Awareness,90,11.63550170595322,11.635492859529524,Pulse Back-to-School Offer
CAMP-1223,Loyalty Special,Affiliate,2022-07-29,2022-08-14,8766.04,Seniors,In-Store,Discount,Brand Awareness,16,9.078754514142338,9.078640444052988,Stride Winter Offer
CAMP-1224,Weekend Blast,Affiliate,2023-09-11,2023-11-05,10596.21,Seniors,Multi-Channel,Free Shipping,Conversions,55,9.268346037907802,9.268251668995118,Pulse Winter Sale
CAMP-1225,New Customer Sale,Print,2024-03-10,2024-04-10,4395.42,Seniors,Email Only,Free Shipping,Customer Acquisition,31,8.388545852360997,8.388318368693342,Boost Autumn Bonanza
CAMP-1226,Super Promotion,Social Media,2022-03-10,2022-05-02,35887.56,Students,Email Only,Discount,Customer Acquisition,53,10.488173860739897,10.488145996319249,Revive Summer Bonanza
CAMP-1227,Spring Promotion,Print,2023-01-26,2023-02-16,20117.22,Professionals,In-Store,Free Shipping,Traffic,21,9.909381151115156,9.909331443693032,Elevate Autumn Event
CAMP-1228,Mega Promotion,PPC,2023-11-24,2024-02-12,22834.71,Seniors,Email Only,Discount,Customer Acquisition,80,10.03608081775671,10.036037025735522,Inspire Autumn Wave
CAMP-1229,Flash Promotion,Influencer,2024-07-01,2024-09-21,4189.37,Professionals,Email Only,Cashback,Traffic,82,8.340544314506744,8.34030564361606,Pulse Holiday Sale
CAMP-1230,Holiday Event,Influencer,2023-11-23,2024-02-18,4060.16,High Income,In-Store,Bundle Deal,Conversions,87,8.309223926072939,8.308977660686264,Stride Summer Bonanza
CAMP-1231,Weekend Sale,Affiliate,2023-04-17,2023-07-02,2970.19,Budget Conscious,Mobile,Bundle Deal,Brand Awareness,76,7.9967178249492665,7.996381202814529,Momentum Back-to-School Sale
CAMP-1232,Summer Deal,Social Media,2022-01-31,2022-04-15,8382.1,Students,Mobile,Discount,Conversions,74,9.033973053470442,9.033853758740742,Surge Back-to-School Event
CAMP-1233,Back-to-School Special,Influencer,2023-08-22,2023-10-21,3260.45,Families,Mobile,Free Shipping,Revenue,60,8.089927160749177,8.089620501644365,Momentum Holiday Event
CAMP-1234,New Customer Deal,Social Media,2023-06-24,2023-07-20,23172.68,High Income,Online,Gift with Purchase,Revenue,26,10.05077243088309,10.050729277548063,Revive Holiday Event
CAMP-1235,Weekend Blast,Affiliate,2023-09-12,2023-09-19,13929.42,High Income,Email Only,Gift with Purchase,Revenue,7,9.541830217073095,9.541758429151812,Ignite Winter Bonanza
CAMP-1236,New Customer Sale,Print,2023-09-17,2023-12-09,17431.23,Students,Online,Bundle Deal,Conversions,83,9.76607607066316,9.766018704010493,Inspire Autumn Offer
CAMP-1237,Weekend Deal,Email,2023-01-14,2023-02-21,7191.6,Students,In-Store,Free Shipping,Customer Acquisition,38,8.88080799870062,8.88066895725214,Inspire Summer Wave
CAMP-1238,New Customer Special,Influencer,2023-05-09,2023-05-31,15889.6,Seniors,Multi-Channel,Free Shipping,Traffic,22,9.673483018415117,9.673420086149093,Elevate Spring Fest
CAMP-1239,Back-to-School Special,TV,2022-05-26,2022-06-20,74841.22,Young Adults,In-Store,Free Shipping,Revenue,25,11.223137443229747,11.223124081698238,Stride Autumn Event
CAMP-1240,Winter Event,PPC,2022-07-11,2022-08-14,30619.6,Budget Conscious,In-Store,Gift with Purchase,Conversions,34,10.329428264055618,10.329395605769065,Inspire Back-to-School Event
CAMP-1241,Weekend Blast,Email,2024-09-03,2024-09-21,1310.01,Young Adults,Online,Bundle Deal,Traffic,18,7.1785531114996735,7.177790049753848,Elevate Holiday Fest
CAMP-1242,Super Promotion,Radio,2023-08-20,2023-11-18,98101.31,Young Adults,Email Only,Cashback,Revenue,90,11.49376619267683,11.493755999184987,Ignite Summer Bonanza
CAMP-1243,Loyalty Deal,Print,2023-10-31,2024-01-24,14754.78,Families,Email Only,Bundle Deal,Brand Awareness,85,9.59939014941594,9.599322377065949,Inspire Holiday Wave
CAMP-1244,Weekend Special,Influencer,2022-12-16,2023-01-05,20937.83,Professionals,Online,Discount,Conversions,20,9.94936060893802,9.949312849637247,Pulse Spring Sale
CAMP-1245,New Customer Sale,Influencer,2023-09-20,2023-10-03,13928.67,High Income,In-Store,Free Shipping,Traffic,13,9.54177637661528,9.541704584828661,Momentum Back-to-School Event
CAMP-1246,Flash Event,Social Media,2024-09-10,2024-12-05,9745.61,Seniors,Online,Gift with Purchase,Traffic,86,9.184674811225216,9.184572206185782,Inspire Winter Event
CAMP-1247,Loyalty Special,Radio,2024-02-20,2024-05-11,75594.42,Students,Email Only,Gift with Purchase,Traffic,81,11.233150978321879,11.233137749919758,Pulse Spring Wave
CAMP-1248,Loyalty Special,TV,2023-04-10,2023-06-26,65788.06,Young Adults,In-Store,Free Shipping,Conversions,77,11.094208842092273,11.094193641881173,Inspire Spring Bonanza
CAMP-1249,Weekend Blast,Influencer,2024-09-20,2024-12-18,14569.89,Professionals,Multi-Channel,Discount,Brand Awareness,89,9.586780981743715,9.58671234940097,Voyage Winter Fest
